전철역명,호선,좌표2,좌표1
4.19민주묘지,우이신설경전철,127.013746,37.649593
가락시장,03호선,127.118234,37.492522
가락시장,08호선,127.118234,37.492522
가산디지털단지,01호선,126.882343,37.481072
가산디지털단지,07호선,126.882343,37.481072
가양,09호선,126.854456,37.561391
가오리,우이신설경전철,127.016792,37.641701
가좌,경의선,126.915487,37.568491
강남,02호선,127.027926,37.497175
강남,신분당선,127.027926,37.497175
강남구청,분당선,127.04128,37.517186
강남구청,07호선,127.04128,37.517186
강동,05호선,127.132481,37.535804
강동구청,08호선,127.120508,37.530341
강변,02호선,127.094681,37.535095
개롱,05호선,127.13482,37.498079
개봉,01호선,126.85868,37.494594
개포동,분당선,127.06614,37.489116
개화,09호선,126.798153,37.578608
개화산,05호선,126.806171,37.572399
거여,05호선,127.14415,37.493105
건대입구,07호선,127.07023,37.540693
건대입구,02호선,127.07023,37.540693
경복궁,03호선,126.97353,37.575762
경찰병원,03호선,127.12454,37.495918
고덕,05호선,127.154151,37.555004
고려대,06호선,127.036296,37.590508
고속터미널,03호선,127.004943,37.50481
고속터미널,07호선,127.004943,37.50481
고속터미널,09호선,127.004943,37.50481
공덕,경의선,126.951592,37.544018
공덕,05호선,126.951592,37.544018
공덕,06호선,126.951592,37.544018
공덕,공항철도,126.951592,37.544018
공릉,07호선,127.072896,37.625742
공항시장,09호선,126.810678,37.563726
광나루,05호선,127.10357,37.545303
광명사거리,07호선,126.854876,37.479252
광운대,01호선,127.061835,37.623632
광운대,경춘선,127.061835,37.623632
광화문,05호선,126.976669,37.571026
광흥창,06호선,126.931993,37.547456
교대,03호선,127.01408,37.493415
교대,02호선,127.01408,37.493415
구로,01호선,126.881966,37.503039
구로디지털단지,02호선,126.901401,37.485266
구룡,분당선,127.058856,37.486839
구반포,09호선,126.987332,37.501364
구산,06호선,126.91727,37.611377
구의,02호선,127.085916,37.537077
구일,01호선,126.870793,37.496756
구파발,03호선,126.918821,37.636763
국회의사당,09호선,126.917874,37.528105
군자,05호선,127.079542,37.557121
군자,07호선,127.079542,37.557121
굴포천,07호선,126.73128,37.506997
굽은다리,05호선,127.142853,37.545477
금천구청,01호선,126.89398,37.455626
금호,03호선,127.015872,37.548034
길동,05호선,127.140004,37.537801
길음,04호선,127.025053,37.603407
김포공항,05호선,126.801058,37.562434
김포공항,09호선,126.801058,37.562434
김포공항,공항철도,126.801058,37.562434
김포공항,김포도시철도,126.801058,37.562434
까치산,05호선,126.846683,37.531768
까치산,02호선,126.846683,37.531768
까치울,07호선,126.810939,37.506207
낙성대,02호선,126.963693,37.47693
남구로,07호선,126.887249,37.486056
남부터미널,03호선,127.016189,37.485013
남성,07호선,126.971251,37.484596
남영,01호선,126.9713,37.541021
남태령,04호선,126.989134,37.463873
내방,07호선,126.993513,37.487618
노들,09호선,126.953222,37.512887
노량진,01호선,126.942454,37.514219
노량진,09호선,126.942454,37.514219
노원,04호선,127.061368,37.655128
노원,07호선,127.061368,37.655128
녹번,03호선,126.935756,37.600927
녹사평,06호선,126.986695,37.534675
녹천,01호선,127.051269,37.644799
논현,07호선,127.021415,37.511093
답십리,05호선,127.052704,37.566747
당고개,04호선,127.079066,37.670272
당산,02호선,126.902281,37.53438
당산,09호선,126.902281,37.53438
대림,07호선,126.895801,37.49297
대림,02호선,126.895801,37.49297
대모산입구,분당선,127.07272,37.491373
대방,01호선,126.926382,37.513342
대청,03호선,127.079532,37.493514
대치,03호선,127.063642,37.494612
대흥,06호선,126.942069,37.547771
도곡,분당선,127.055381,37.490858
도곡,03호선,127.055381,37.490858
도림천,02호선,126.882768,37.514287
도봉,01호선,127.045595,37.679563
도봉산,01호선,127.046222,37.689313
도봉산,07호선,127.046222,37.689313
독립문,03호선,126.957748,37.574571
독바위,06호선,126.933031,37.618456
독산,01호선,126.889249,37.466613
돌곶이,06호선,127.056431,37.610537
동대문,04호선,127.009745,37.57142
동대문,01호선,127.009745,37.57142
동대문역사문화공원,04호선,127.007896,37.565138
동대문역사문화공원,05호선,127.007896,37.565138
동대문역사문화공원,02호선,127.007896,37.565138
동대입구,03호선,127.005602,37.559052
동묘앞,06호선,127.016429,37.572627
동묘앞,01호선,127.016429,37.572627
동작,04호선,126.979306,37.502971
동작,09호선,126.979306,37.502971
둔촌동,05호선,127.136248,37.527788
둔촌오륜,09호선,127.1411332,37.51848424
등촌,09호선,126.865689,37.550632
디지털미디어시티,06호선,126.900984,37.576646
디지털미디어시티,경의선,126.900984,37.576646
디지털미디어시티,공항철도,126.900984,37.576646
뚝섬,02호선,127.047367,37.547184
뚝섬유원지,07호선,127.066704,37.53154
마곡,05호선,126.825448,37.560183
마곡나루,09호선,126.829497,37.567336
마곡나루,공항철도,126.829497,37.567336
마들,07호선,127.057675,37.66494
마장,05호선,127.042973,37.5661
마천,05호선,127.152781,37.49499
마포,05호선,126.945932,37.539574
마포구청,06호선,126.903343,37.563515
망우,경의선,127.091909,37.59955
망우,경춘선,127.091909,37.59955
망원,06호선,126.910052,37.556094
매봉,03호선,127.046769,37.486947
먹골,07호선,127.077725,37.610637
면목,07호선,127.087503,37.588579
명동,04호선,126.986325,37.560989
명일,05호선,127.143999,37.55137
목동,05호선,126.864931,37.526065
몽촌토성,08호선,127.112359,37.517409
무악재,03호선,126.950291,37.582299
문래,02호선,126.89476,37.517933
문정,08호선,127.1225,37.485855
미아,04호선,127.025983,37.62667
미아사거리,04호선,127.030053,37.613292
반포,07호선,127.011727,37.508178
발산,05호선,126.837668,37.558598
방배,02호선,126.997596,37.481426
방이,05호선,127.126133,37.508857
방학,01호선,127.044273,37.667503
방화,05호선,126.812741,37.577446
버티고개,06호선,127.007055,37.548013
보라매,07호선,126.920428,37.499872
보문,06호선,127.019381,37.585286
보문,우이신설경전철,127.019381,37.585286
복정,분당선,127.126662,37.470047
복정,08호선,127.126662,37.470047
봉은사,09호선,127.060245,37.514219
봉천,02호선,126.941892,37.482362
봉화산,06호선,127.091401,37.617283
부천시청,07호선,126.763538,37.504631
부천종합운동장,07호선,126.797337,37.50538
부평구청,07호선,126.720548,37.508336
부평구청,인천선,126.720548,37.508336
북한산보국문,우이신설경전철,127.008009,37.612343
북한산우이,우이신설경전철,127.012789,37.663146
불광,03호선,126.929887,37.610469
불광,06호선,126.929887,37.610469
사가정,07호선,127.088478,37.580894
사당,04호선,126.981685,37.47653
사당,02호선,126.981685,37.47653
사평,09호선,127.015259,37.504206
삼각지,04호선,126.97311,37.534777
삼각지,06호선,126.97311,37.534777
삼산체육관,07호선,126.742153,37.506411
삼성,02호선,127.06316,37.508844
삼성중앙,09호선,127.053282,37.513011
삼양,우이신설경전철,127.018152,37.627165
삼양사거리,우이신설경전철,127.02048,37.621512
삼전,09호선,127.0872783,37.50416747
상계,04호선,127.073572,37.660878
상도,07호선,126.94791,37.502834
상동,07호선,126.753083,37.505781
상봉,경의선,127.085032,37.596362
상봉,경춘선,127.085032,37.596362
상봉,07호선,127.085032,37.596362
상수,06호선,126.922852,37.547716
상왕십리,02호선,127.029354,37.564354
상월곡,06호선,127.048491,37.606377
상일동,05호선,127.166417,37.556712
새절,06호선,126.913629,37.591148
샛강,09호선,126.928422,37.517274
서강대,경의선,126.935711,37.551881
서대문,05호선,126.966641,37.565773
서빙고,경의선,126.988537,37.519594
서울대입구,02호선,126.952739,37.481247
서울숲,분당선,127.044707,37.543617
서울역,04호선,126.972559,37.554648
서울역,경의선,126.972559,37.554648
서울역,공항철도,126.972559,37.554648
서울역,01호선,126.972559,37.554648
서초,02호선,127.007917,37.491897
석계,06호선,127.065851,37.614805
석계,01호선,127.065851,37.614805
석촌,08호선,127.106979,37.505431
석촌,09호선,127.106979,37.505431
석촌고분,09호선,127.0962196,37.50256239
선릉,분당선,127.049008,37.504503
선릉,02호선,127.049008,37.504503
선유도,09호선,126.893525,37.53802
선정릉,분당선,127.043593,37.51098
선정릉,09호선,127.043593,37.51098
성균관대,01호선,126.97075,37.300349
성수,02호선,127.055961,37.544581
성신여대입구,04호선,127.016403,37.592624
성신여대입구,우이신설경전철,127.016403,37.592624
솔밭공원,우이신설경전철,127.013252,37.656088
솔샘,우이신설경전철,127.013528,37.62124
송정,05호선,126.811973,37.561184
송파,08호선,127.112183,37.499703
송파나루,09호선,127.111945,37.50972804
수락산,07호선,127.055315,37.67785
수색,경의선,126.895611,37.580842
수서,분당선,127.10188,37.487371
수서,03호선,127.10188,37.487371
수원,01호선,126.999874,37.265974
수원,분당선,126.999874,37.265974
수유,04호선,127.025732,37.638052
숙대입구,04호선,126.972106,37.54456
숭실대입구,07호선,126.953822,37.496029
시청,02호선,126.977108,37.564718
시청,01호선,126.977108,37.564718
신금호,05호선,127.020331,37.554548
신길,01호선,126.917169,37.517122
신길,05호선,126.917169,37.517122
신내,경춘선,127.1032219,37.61278958
신내,06호선,127.1032219,37.61278958
신논현,09호선,127.02506,37.504598
신답,02호선,127.046481,37.57004
신당,06호선,127.01782,37.565972
신당,02호선,127.01782,37.565972
신대방,02호선,126.913149,37.487462
신대방삼거리,07호선,126.928276,37.499701
신도림,01호선,126.891295,37.508725
신도림,02호선,126.891295,37.508725
신림,02호선,126.929715,37.484201
신목동,09호선,126.88308,37.544277
신반포,09호선,126.995925,37.503415
신방화,09호선,126.816601,37.567532
신사,03호선,127.020114,37.516334
신설동,01호선,127.025087,37.575297
신설동,우이신설경전철,127.025087,37.575297
신설동,02호선,127.025087,37.575297
신용산,04호선,126.967894,37.52917
신이문,01호선,127.067325,37.601854
신정,05호선,126.856191,37.524997
신정네거리,02호선,126.852912,37.520074
신중동,07호선,126.77596,37.503048
신촌,경의선,126.936893,37.555134
신촌,02호선,126.936893,37.555134
신풍,07호선,126.90993,37.50008
쌍문,04호선,127.034709,37.648627
아차산,05호선,127.089761,37.551691
아현,02호선,126.956141,37.557345
안국,03호선,126.985443,37.576477
안암,06호선,127.029005,37.586272
안양,01호선,126.922874,37.401592
암사,08호선,127.127562,37.55021
압구정,03호선,127.028461,37.527072
압구정로데오,분당선,127.040534,37.527381
애오개,05호선,126.95682,37.553736
약수,03호선,127.010655,37.55434
약수,06호선,127.010655,37.55434
양재,03호선,127.034631,37.484147
양재,신분당선,127.034631,37.484147
양재시민의숲,신분당선,127.035319,37.4709659
양천구청,02호선,126.865819,37.512398
양천향교,09호선,126.841333,37.568381
양평,경의선,126.885778,37.525648
양평,05호선,126.885778,37.525648
어린이대공원,07호선,127.074658,37.548014
언주,09호선,127.033868,37.507287
여의나루,05호선,126.932901,37.527098
여의도,05호선,126.924191,37.521624
여의도,09호선,126.924191,37.521624
역삼,02호선,127.036456,37.500622
역촌,06호선,126.922744,37.606021
연신내,06호선,126.921008,37.619001
연신내,03호선,126.921008,37.619001
염창,09호선,126.874916,37.546936
영등포,01호선,126.907628,37.515504
영등포구청,02호선,126.895951,37.52497
영등포구청,05호선,126.895951,37.52497
영등포시장,05호선,126.905139,37.522669
오금,03호선,127.128111,37.502162
오금,05호선,127.128111,37.502162
오류동,01호선,126.845365,37.494526
오목교,05호선,126.875181,37.524496
오산,01호선,127.06672,37.145885
오산대,01호선,127.063197,37.168953
옥수,경의선,127.017965,37.540685
옥수,03호선,127.017965,37.540685
온수,01호선,126.823388,37.492258
온수,07호선,126.823388,37.492258
올림픽공원,05호선,127.130848,37.516078
올림픽공원,09호선,127.130848,37.516078
왕십리,경의선,127.037732,37.561533
왕십리,분당선,127.037732,37.561533
왕십리,05호선,127.037732,37.561533
왕십리,02호선,127.037732,37.561533
외대앞,01호선,127.063549,37.596073
용답,02호선,127.050899,37.561904
용두,02호선,127.038091,37.574028
용마산,07호선,127.086727,37.573647
용산,01호선,126.964561,37.529849
용산,경의선,126.964561,37.529849
우장산,05호선,126.836318,37.548768
월계,01호선,127.058831,37.633212
월곡,06호선,127.041518,37.601948
월드컵경기장,06호선,126.899298,37.569532
을지로3가,03호선,126.99191,37.566295
을지로3가,02호선,126.99191,37.566295
을지로4가,05호선,126.998079,37.566941
을지로4가,02호선,126.998079,37.566941
을지로입구,02호선,126.982618,37.566014
응봉,경의선,127.034538,37.549946
응암,06호선,126.915577,37.598605
이대,02호선,126.946013,37.556733
이수,07호선,126.9811377,37.48516014
이촌,04호선,126.974345,37.522272
이촌,경의선,126.974345,37.522272
이태원,06호선,126.994302,37.534488
일원,03호선,127.08439,37.483681
잠실,08호선,127.102234,37.51395
잠실,02호선,127.102234,37.51395
잠실나루,02호선,127.10379,37.520733
잠실새내,02호선,127.086162,37.511687
잠원,03호선,127.01122,37.512759
장승배기,07호선,126.93915,37.504898
장암,07호선,127.053196,37.700109
장지,08호선,127.126191,37.478703
장한평,05호선,127.064623,37.56144
정릉,우이신설경전철,127.01349,37.602798
제기동,01호선,127.034893,37.578103
종각,01호선,126.982923,37.570161
종로3가,05호선,126.991806,37.571607
종로3가,03호선,126.991806,37.571607
종로3가,01호선,126.991806,37.571607
종로5가,01호선,127.001849,37.570926
종합운동장,02호선,127.073642,37.510997
종합운동장,09호선,127.073642,37.510997
중계,07호선,127.064303,37.644583
중곡,07호선,127.08432,37.565923
중랑,경의선,127.076116,37.594917
중랑,경춘선,127.076116,37.594917
중앙보훈병원,09호선,127.1486608,37.52914994
중화,07호선,127.079264,37.602545
증미,09호선,126.861939,37.557402
증산,06호선,126.909645,37.583876
지축,03호선,126.913951,37.648048
창동,01호선,127.047731,37.653166
창동,04호선,127.047731,37.653166
창신,06호선,127.015241,37.579661
천왕,07호선,126.838713,37.486637
천호,05호선,127.123572,37.538397
천호,08호선,127.123572,37.538397
철산,07호선,126.867911,37.47605
청계산입구,신분당선,127.054792,37.4483975
청구,05호선,127.013828,37.560245
청구,06호선,127.013828,37.560245
청담,07호선,127.05335,37.519365
청량리,경의선,127.046835,37.580178
청량리,경춘선,127.046835,37.580178
청량리,분당선,127.046835,37.580178
청량리,01호선,127.046835,37.580178
총신대입구,04호선,126.981989,37.486263
춘의,07호선,126.787036,37.503663
충무로,04호선,126.99428,37.561243
충무로,03호선,126.99428,37.561243
충정로,02호선,126.963672,37.559973
충정로,05호선,126.963672,37.559973
태릉입구,06호선,127.07512,37.617983
태릉입구,07호선,127.07512,37.617983
하계,07호선,127.06799,37.636352
학동,07호선,127.031656,37.514229
학여울,03호선,127.070594,37.496663
한강진,06호선,127.001725,37.539631
한남,경의선,127.009169,37.52943
한성대입구,04호선,127.006221,37.588458
한성백제,09호선,127.117619,37.51621599
한양대,02호선,127.043655,37.555273
한티,분당선,127.052873,37.496237
합정,02호선,126.913739,37.549463
합정,06호선,126.913739,37.549463
행당,05호선,127.029476,37.557322
혜화,04호선,127.001844,37.582336
홍대입구,경의선,126.925381,37.557192
홍대입구,02호선,126.925381,37.557192
홍대입구,공항철도,126.925381,37.557192
홍제,03호선,126.943736,37.589066
화계,우이신설경전철,127.017519,37.634802
화곡,05호선,126.840461,37.541513
화랑대,06호선,127.084689,37.620064
회기,01호선,127.057583,37.58946
회기,경춘선,127.057583,37.58946
회기,경의선,127.057583,37.58946
회현,04호선,126.978246,37.558514
효창공원앞,경의선,126.961351,37.539261
효창공원앞,06호선,126.961351,37.539261
흑석,09호선,126.963708,37.50877
